# maspsx behaviour	dependent row
_maybe_unfill_return_delay	town/func_800B7CEC
_maybe_unfill_return_delay	town/func_800B998C
_maybe_unfill_return_delay	town/func_800BAE88
_maybe_unfill_return_delay	town/func_800BEB30
_maybe_unfill_return_delay	town/func_800C8810
_maybe_unfill_return_delay	town/func_8032E44C
_maybe_unfill_return_delay	town/func_8032E514
_maybe_unfill_return_delay	town/func_8032EF6C
_maybe_unfill_return_delay	town/func_8032F060
_maybe_unfill_return_delay	town/func_8032F234
_maybe_unfill_return_delay	town/func_803308E8
_maybe_unfill_return_delay	town/func_803334D4
_maybe_unfill_return_delay	town/func_8046C188
_maybe_unfill_return_delay	town/func_8047E1C0
_maybe_unfill_return_delay	town/func_806A9100
_maybe_unfill_return_delay	town/func_806CF118
_maybe_unfill_return_delay	town/func_806D4B9C
_maybe_unfill_return_delay	town/func_80813E14
_maybe_unfill_return_delay	town/func_8081822C
_maybe_unfill_return_delay	town/func_80819B14
_maybe_unfill_return_delay	town/func_8081F8A8
_prefer_lui_over_sll_branch_delay	slus/w_80048224
_prefer_marked_target_arg_setup	town/func_808213CC
_rewrite_tail_call_jal_to_j	town/func_808B8184
_rewrite_tail_call_jal_to_j	town/func_808B85F0
_rewrite_tail_call_jal_to_j	town/func_808BB138
_rotate_marked_store_into_jal_delay	slus/w_800463EC
_sink_call_separated_la	slus/w_8004AB7C
_split_funcaddr_la	dungeon/func_818D4E68
_split_funcaddr_la	slus/w_80041AB0
_split_funcaddr_la	slus/w_80043CD0
_unfill_jal_sp_delay	slus/w_8004CAA0
_unfill_via_load_delay	dungeon/func_800A133C
_unfill_via_load_delay	dungeon/func_800C23D8
_unfill_via_load_delay	dungeon/func_80D90514
_unfill_via_load_delay	slus/code7
_unfill_via_load_delay	slus/konami_runtime_w_80038240
_unfill_via_load_delay	slus/konami_runtime_w_8003ADB4
_unfill_via_load_delay	slus/konami_runtime_w_8003B92C
_unfill_via_load_delay	slus/w_8003E1FC
_unfill_via_load_delay	slus/w_8003E70C
_unfill_via_load_delay	slus/w_80041038
_unfill_via_load_delay	slus/w_80048190
_unfill_via_load_delay	slus/w_80048998
_unfill_via_load_delay	slus/w_8004D5D0
_unfill_via_load_delay	slus/w_8004D7A8
_unfill_via_load_delay	slus/w_8004D7E8
_unfill_via_load_delay	slus/w_800504B4
_unfill_via_load_delay	slus/w_80053F98
_unfill_via_load_delay	slus/w_800546B0
_unfill_via_load_delay	slus/w_80055B44
_unfill_via_load_delay	slus/w_800563B0
_unfill_via_load_delay	slus/w_80056D44
_unfill_via_load_delay	slus/w_80058494
_unfill_via_load_delay	slus/w_8005914C
_unfill_via_load_delay	slus/w_8005A2FC
_unfill_via_load_delay	town/func_800A7434
_unfill_via_load_delay	town/func_800B9B58
_unfill_via_load_delay	town/func_800C738C
_unfill_via_load_delay	town/func_8032E2EC
_unfill_via_load_delay	town/func_8035A5E4
_unfill_via_load_delay	town/func_8047E278
_unfill_via_load_delay	town/func_8047E8B4
_unfill_via_load_delay	town/func_804F027C
_unfill_via_load_delay	town/func_80615500
_unfill_via_load_delay	town/func_80647308
_unfill_via_load_delay	town/func_8077DC0C
_unfill_via_load_delay	town/func_8079A1EC
_unfill_via_load_delay	town/func_808B2D90
small-extern-gp	slus/code
small-extern-gp	slus/konami_runtime_w_80033D44
small-extern-gp	slus/konami_runtime_w_80035484
small-extern-gp	slus/konami_runtime_w_80035888
small-extern-gp	slus/konami_runtime_w_80038A10
small-extern-gp	slus/konami_runtime_w_8003C634
small-extern-gp	slus/konami_runtime_w_8003C6F8
small-extern-gp	slus/konami_runtime_w_8003C758
small-extern-gp	slus/konami_runtime_w_8003C920
small-extern-gp	slus/w_8003CB08
small-extern-gp	slus/w_8003CCB0
