name	value	family	file_offset
mamonogoya_stat_02	32835	mamonogoya_	0x80F278
mamonogoya_stat_03	32836	mamonogoya_	0x80F29C
mamonogoya_stat_04	32837	mamonogoya_	0x80F2C0
mamonogoya_stat_05	32838	mamonogoya_	0x80F2E4
mamonogoya_stat_06	32839	mamonogoya_	0x80F308
mamonogoya_stat_07	32840	mamonogoya_	0x80F32C
mamonogoya_stat_08	32841	mamonogoya_	0x80F350
mamonogoya_stat_09	32842	mamonogoya_	0x80F374
mamonogoya_stat_10	32843	mamonogoya_	0x80F398
mamonogoya_stat_11	32844	mamonogoya_	0x80F3BC
mamonogoya_stat_12	32845	mamonogoya_	0x80F3E0
mamonogoya_stat_13	32846	mamonogoya_	0x80F404
mamonogoya_stat_14	32847	mamonogoya_	0x80F428
mamonogoya_stat_15	32848	mamonogoya_	0x80F44C
mamonogoya_stat_16	32849	mamonogoya_	0x80F470
mamonogoya_stat_17	32850	mamonogoya_	0x80F494
mamonogoya_stat_18	32851	mamonogoya_	0x80F4B8
mamonogoya_stat_19	32852	mamonogoya_	0x80F4DC
mamonogoya_stat_20	32853	mamonogoya_	0x80F500
mamonogoya_stat_21	32854	mamonogoya_	0x80F524
mamonogoya_stat_22	32855	mamonogoya_	0x80F548
mamonogoya_stat_23	32856	mamonogoya_	0x80F56C
mamonogoya_stat_24	32857	mamonogoya_	0x80F590
mamonogoya_stat_25	32858	mamonogoya_	0x80F5B4
mamonogoya_stat_26	32859	mamonogoya_	0x80F5D8
mamonogoya_stat_27	32860	mamonogoya_	0x80F5FC
mamonogoya_stat_28	32861	mamonogoya_	0x80F620
mamonogoya_stat_29	32862	mamonogoya_	0x80F644
mamonogoya_stat_30	32863	mamonogoya_	0x80F668
mamonogoya_stat_31	32864	mamonogoya_	0x80F68C
mamonogoya_stat_32	32865	mamonogoya_	0x80F6B0
mamonogoya_stat_33	32866	mamonogoya_	0x80F6D4
mamonogoya_stat_34	32867	mamonogoya_	0x80F6F8
mamonogoya_stat_35	32868	mamonogoya_	0x80F71C
mamonogoya_stat_36	32869	mamonogoya_	0x80F740
mamonogoya_stat_37	32870	mamonogoya_	0x80F764
mamonogoya_stat_38	32871	mamonogoya_	0x80F788
mamonogoya_stat_39	32872	mamonogoya_	0x80F7AC
mamonogoya_stat_40	32873	mamonogoya_	0x80F7D0
mamonogoya_stat_41	32874	mamonogoya_	0x80F7F4
mamonogoya_stat_42	32875	mamonogoya_	0x80F818
mamonogoya_stat_43	32876	mamonogoya_	0x80F83C
mamonogoya_stat_44	32877	mamonogoya_	0x80F860
mamonogoya_stat_45	32878	mamonogoya_	0x80F884
mamonogoya_stat_46	32879	mamonogoya_	0x80F8A8
mamonogoya_stat_47	32880	mamonogoya_	0x80F8CC
mamonogoya_stat_48	32881	mamonogoya_	0x80F8F0
mamonogoya_stat_49	32882	mamonogoya_	0x80F914
mamonogoya_stat_50	32883	mamonogoya_	0x80F938
mamonogoya_stat_51	32884	mamonogoya_	0x80F95C
mamonogoya_stat_52	32885	mamonogoya_	0x80F980
mamonogoya_stat_53	32886	mamonogoya_	0x80F9A4
mamonogoya_stat_54	32887	mamonogoya_	0x80F9C8
mamonogoya_stat_55	32888	mamonogoya_	0x80F9EC
mamonogoya_stat_56	32889	mamonogoya_	0x80FA10
mamonogoya_stat_57	32890	mamonogoya_	0x80FA34
mamonogoya_stat_58	32891	mamonogoya_	0x80FA58
mamonogoya_stat_59	32892	mamonogoya_	0x80FA7C
mamonogoya_stat_60	32893	mamonogoya_	0x80FAA0
mamonogoya_stat_61	32894	mamonogoya_	0x80FAC4
mamonogoya_stat_62	32895	mamonogoya_	0x80FAE8
mamonogoya_stat_63	32896	mamonogoya_	0x80FB0C
ANM_PSN_DM_KANASIBA	32897	ANM_	0x80FB30
ANM_PSN_DM_HOMEPOS	1	ANM_	0x80FB54
ANM_PSN_DM_TALK	2	ANM_	0x80FB78
ANM_PSN_DM_TALK2	3	ANM_	0x80FB9C
ANM_PSN_DM_WAY	4	ANM_	0x80FBC0
ANM_PSN_DM_WK	5	ANM_	0x80FBE4
ANM_PSN_DM_JMP	6	ANM_	0x80FC08
ANM_PSN_DM_JMPCNT	7	ANM_	0x80FC2C
ANM_PSN_DM_TGTPOS	8	ANM_	0x80FC50
PSN_DM_KANASIBA	9	PSN_	0x80FC74
PSN_DM_HOMEPOS	1	PSN_	0x80FC98
PSN_DM_TALK	2	PSN_	0x80FCBC
PSN_DM_TALK2	3	PSN_	0x80FCE0
PSN_DM_NORTHWAY	4	PSN_	0x80FD04
PSN_DM_SOUTHWAY	5	PSN_	0x80FD28
PSN_DM_WESTWAY	6	PSN_	0x80FD4C
PSN_DM_EASTWAY	7	PSN_	0x80FD70
PSN_DM_NORTHWK	8	PSN_	0x80FD94
PSN_DM_SOUTHWK	9	PSN_	0x80FDB8
PSN_DM_WESTWK	10	PSN_	0x80FDDC
PSN_DM_EASTWK	11	PSN_	0x80FE00
PSN_DM_JMP	12	PSN_	0x80FE24
PSN_DM_GOTGT	13	PSN_	0x80FE48
PSN_DM_PLWAY	14	PSN_	0x80FE6C
PSN_DM_TGTWAY	15	PSN_	0x80FE90
PSN_DM_DISP_OFF	16	PSN_	0x80FEB4
PSN_DM_DISP_ON	17	PSN_	0x80FED8
PSN_DM_DEL	18	PSN_	0x80FEFC
PSN_DM_ANG_ORG	19	PSN_	0x80FF20
PSN_DM_POS_ORG	20	PSN_	0x80FF44
DFLT_END_PSN_DM	21	DFLT_	0x80FF68
SSTP_ANGEL_APPEAR	22	SSTP_	0x80FF8C
SSTP_ANGEL_LIE	22	SSTP_	0x80FFB0
SSTP_ANGEL_WAKE	23	SSTP_	0x80FFD4
SSTP_ANGEL_BYE	24	SSTP_	0x80FFF8
SSTP_GY_SOUTHANEASTWAY	25	SSTP_	0x81001C
SSTP_GY_SYAGAMU_INIT	22	SSTP_	0x810040
SSTP_GY_STDUP_INIT	23	SSTP_	0x810064
